Function                      ,Assembly  ,Source,   REF     ,   SSE     ,  SSE2     ,  SSE3     , SSSE3     , SSE4A     ,SSE4_1     ,SSE4_2     ,  SSE5     
ssp_cmpistro                  ,pcmpistri,SSE4_2,,,,,,,,-1
ssp_cmpistrs                  ,pcmpistri,SSE4_2,,,,,,,,-1
ssp_cmpistrz                  ,pcmpistri,SSE4_2,,,,,,,,-1
ssp_cmple_pd                  ,cmplepd,SSE2,,,-1,,,,,
ssp_cmple_ps                  ,cmpleps,SSE,,-1,,,,,,
ssp_cmple_sd                  ,cmplesd,SSE2,,,-1,,,,,
ssp_cmple_ss                  ,cmpless,SSE,,-1,,,,,,
ssp_cmplt_epi16               ,pcmpgtwr,SSE2,,,-1,,,,,
ssp_cmplt_epi32               ,pcmpgtdr,SSE2,,,-1,,,,,
ssp_cmplt_epi8                ,pcmpgtbr,SSE2,,,-1,,,,,
ssp_cmplt_pd                  ,cmpltpd,SSE2,,,-1,,,,,
ssp_cmplt_ps                  ,cmpltps,SSE,,-1,,,,,,
ssp_cmplt_sd                  ,cmpltsd,SSE2,,,-1,,,,,
ssp_cmplt_ss                  ,cmpltss,SSE,,-1,,,,,,
ssp_cmpneq_pd                 ,cmpneqpd,SSE2,,,-1,,,,,
ssp_cmpneq_ps                 ,cmpneqps,SSE,,-1,,,,,,
ssp_cmpneq_sd                 ,cmpneqsd,SSE2,,,-1,,,,,
ssp_cmpneq_ss                 ,cmpneqss,SSE,,-1,
ssp_cmpnge_pd                 ,cmpnlepd,SSE2,,,-1
ssp_cmpnge_ps                 ,cmpnleps,SSE,,-1,
ssp_cmpnge_sd                 ,cmpnlesd,SSE2,,,-1
ssp_cmpnge_ss                 ,cmpnless,SSE,,-1,
ssp_cmpngt_pd                 ,cmpnltpd,SSE2,,,-1
ssp_cmpngt_ps                 ,cmpnltps,SSE,,-1,
ssp_cmpngt_sd                 ,cmpnltsd,SSE2,,,-1
ssp_cmpngt_ss                 ,cmpnltss,SSE,,-1,
ssp_cmpnle_pd                 ,cmpnlepd,SSE2,,,-1
ssp_cmpnle_ps                 ,cmpnleps,SSE,,-1,
ssp_cmpnle_sd                 ,cmpnlesd,SSE2,,,-1
ssp_cmpnle_ss                 ,cmpnless,SSE,,-1,
ssp_cmpnlt_pd                 ,cmpnltpd,SSE2,,,-1
ssp_cmpnlt_ps                 ,cmpnltps,SSE,,-1,
ssp_cmpnlt_sd                 ,cmpnltsd,SSE2,,,-1
ssp_cmpnlt_ss                 ,cmpnltss,SSE,,-1,,,,,,,
ssp_cmpord_pd                 ,cmpordpd,SSE2,,,-1,,,,,,
ssp_cmpord_ps                 ,cmpordps,SSE,,-1,,,,,,,
ssp_cmpord_sd                 ,cmpordsd,SSE2,,,-1,,,,,,
ssp_cmpord_ss                 ,cmpordss,SSE,,-1,,,,,,,
ssp_cmpunord_pd               ,cmpunordpd,SSE2,,,-1,,,,,,
ssp_cmpunord_ps               ,cmpunordps,SSE,,-1,,,,,,,
ssp_cmpunord_sd               ,cmpunordsd,SSE2,,,-1,,,,,,
ssp_cmpunord_ss               ,cmpunordss,SSE,,-1,,,,,,,
ssp_comeq_epi16               ,pcomw     ,SSE5  ,47,           ,2,           ,           ,           ,           ,           ,-1
ssp_comeq_epi32               ,pcomd     ,SSE5  ,34,           ,2,           ,           ,           ,           ,           ,-1
ssp_comeq_epi64               ,pcomq     ,SSE5  ,25,           ,10,           ,           ,           ,           ,           ,-1
ssp_comeq_epi8                ,pcomb     ,SSE5  ,59,           ,2,           ,           ,           ,           ,           ,-1
ssp_comeq_epu16               ,pcomuw    ,SSE5  ,47,           ,2,           ,           ,           ,           ,           ,-1
ssp_comeq_epu32               ,pcomud    ,SSE5  ,34,           ,2,           ,           ,           ,           ,           ,-1
ssp_comeq_epu64               ,pcomuq    ,SSE5  ,25,           ,10,           ,           ,           ,           ,           ,-1
ssp_comeq_epu8                ,pcomub    ,SSE5  ,59,           ,2,           ,           ,           ,           ,           ,-1
ssp_comeq_pd                  ,compd     ,SSE5  ,27,           ,2,           ,           ,           ,           ,           ,-1
ssp_comeq_ps                  ,comps     ,SSE5  ,24.6,           ,2,           ,           ,           ,           ,           ,-1
ssp_comeq_sd                  ,comsd     ,SSE5  ,28,           ,2,           ,           ,           ,           ,           ,-1
ssp_comeq_ss                  ,comss     ,SSE5  ,11,           ,2,           ,           ,           ,           ,           ,-1
ssp_comfalse_epi16            ,pcomw     ,SSE5  ,0,           ,0,           ,           ,           ,           ,           ,-1
ssp_comfalse_epi32            ,pcomd     ,SSE5  ,0,           ,0,           ,           ,           ,           ,           ,-1
ssp_comfalse_epi64            ,pcomq     ,SSE5  ,0,           ,0,           ,           ,           ,           ,           ,-1
ssp_comfalse_epi8             ,pcomb     ,SSE5  ,0,           ,0,           ,           ,           ,           ,           ,-1
ssp_comfalse_epu16            ,pcomuw    ,SSE5  ,0,           ,0,           ,           ,           ,           ,           ,-1
ssp_comfalse_epu32            ,pcomud    ,SSE5  ,0,           ,0,           ,           ,           ,           ,           ,-1
ssp_comfalse_epu64            ,pcomuq    ,SSE5  ,0,           ,0,           ,           ,           ,           ,           ,-1
ssp_comfalse_epu8             ,pcomub    ,SSE5  ,0,           ,0,           ,           ,           ,           ,           ,-1
ssp_comfalse_pd               ,compd     ,SSE5  ,0,           ,0,           ,           ,           ,           ,           ,-1
ssp_comfalse_ps               ,comps     ,SSE5  ,0,           ,0,           ,           ,           ,           ,           ,-1
ssp_comfalse_sd               ,comsd     ,SSE5  ,21.3,           ,4,           ,           ,           ,           ,           ,-1
ssp_comfalse_ss               ,comss     ,SSE5  ,19.5,           ,4,           ,           ,           ,           ,           ,-1
ssp_comge_epi16               ,pcomw     ,SSE5  ,47,           ,8,           ,           ,           ,           ,           ,-1
ssp_comge_epi32               ,pcomd     ,SSE5  ,34,           ,8,           ,           ,           ,           ,           ,-1
ssp_comge_epi64               ,pcomq     ,SSE5  ,38.5,           ,38.5,           ,           ,           ,           ,           ,-1
ssp_comge_epi8                ,pcomb     ,SSE5  ,59,           ,8,           ,           ,           ,           ,           ,-1
ssp_comge_epu16               ,pcomuw    ,SSE5  ,44,           ,12,           ,           ,           ,           ,           ,-1
ssp_comge_epu32               ,pcomud    ,SSE5  ,37.3,           ,12,           ,           ,           ,           ,           ,-1
ssp_comge_epu64               ,pcomuq    ,SSE5  ,39,           ,39,           ,           ,           ,           ,           ,-1
ssp_comge_epu8                ,pcomub    ,SSE5  ,67,           ,67,           ,           ,           ,           ,           ,-1
ssp_comge_pd                  ,compd     ,SSE5  ,26.8,           ,4,           ,           ,           ,           ,           ,-1
ssp_comge_ps                  ,comps     ,SSE5  ,24.8,           ,4,           ,           ,           ,           ,           ,-1
ssp_comge_sd                  ,comsd     ,SSE5  ,28,           ,11.3,           ,           ,           ,           ,           ,-1
ssp_comge_ss                  ,comss     ,SSE5  ,11.1,           ,18.2,           ,           ,           ,           ,           ,-1
ssp_comgt_epi16               ,pcomw     ,SSE5  ,47,           ,2,           ,           ,           ,           ,           ,-1
ssp_comgt_epi32               ,pcomd     ,SSE5  ,34,           ,2,           ,           ,           ,           ,           ,-1
ssp_comgt_epi64               ,pcomq     ,SSE5  ,38.5,           ,38.5,           ,           ,           ,           ,           ,-1
ssp_comgt_epi8                ,pcomb     ,SSE5  ,59,           ,2,           ,           ,           ,           ,           ,-1
ssp_comgt_epu16               ,pcomuw    ,SSE5  ,43.7,           ,9,           ,           ,           ,           ,           ,-1
ssp_comgt_epu32               ,pcomud    ,SSE5  ,32.8,           ,9,           ,           ,           ,           ,           ,-1
ssp_comgt_epu64               ,pcomuq    ,SSE5  ,38.4,           ,38.4,           ,           ,           ,           ,           ,-1
ssp_comgt_epu8                ,pcomub    ,SSE5  ,64,           ,64,           ,           ,           ,           ,           ,-1
ssp_comgt_pd                  ,compd     ,SSE5  ,28.3,           ,4,           ,           ,           ,           ,           ,-1
ssp_comgt_ps                  ,comps     ,SSE5  ,23.6,           ,4,           ,           ,           ,           ,           ,-1
ssp_comgt_sd                  ,comsd     ,SSE5  ,28,           ,11.3,           ,           ,           ,           ,           ,-1
ssp_comgt_ss                  ,comss     ,SSE5  ,11.1,           ,18.2,           ,           ,           ,           ,           ,-1
ssp_comieq_sd                 ,comisd,SSE2,,,-1,,,,,,
ssp_comieq_ss                 ,comiss,SSE,,-1,,,,,,,
ssp_comige_sd                 ,comisd,SSE2,,,-1,,,,,,
ssp_comige_ss                 ,comiss,SSE,,-1,,,,,,,
ssp_comigt_sd                 ,comisd,SSE2,,,-1,,,,,,
ssp_comigt_ss                 ,comiss,SSE,,-1,,,,,,,
ssp_comile_sd                 ,comisd,SSE2,,,-1,,,,,,
ssp_comile_ss                 ,comiss,SSE,,-1,,,,,,,
ssp_comilt_sd                 ,comisd,SSE2,,,-1,,,,,,
ssp_comilt_ss                 ,comiss,SSE,,-1,,,,,,,
ssp_comineq_sd                ,comisd,SSE2,,,-1,,,,,,
ssp_comineq_ss                ,comiss,SSE,,-1,,,,,,,
ssp_comle_epi16               ,pcomw     ,SSE5  ,47,           ,8,           ,           ,           ,           ,           ,-1
ssp_comle_epi32               ,pcomd     ,SSE5  ,34,           ,8,           ,           ,           ,           ,           ,-1
ssp_comle_epi64               ,pcomq     ,SSE5  ,36.5,           ,36,           ,           ,           ,           ,           ,-1
ssp_comle_epi8                ,pcomb     ,SSE5  ,58.4,           ,8,           ,           ,           ,           ,           ,-1
ssp_comle_epu16               ,pcomuw    ,SSE5  ,43.5,           ,43.5,           ,           ,           ,           ,           ,-1
ssp_comle_epu32               ,pcomud    ,SSE5  ,37.3,           ,37.3,           ,           ,           ,           ,           ,-1
ssp_comle_epu64               ,pcomuq    ,SSE5  ,36.8,           ,36.8,           ,           ,           ,           ,           ,-1
ssp_comle_epu8                ,pcomub    ,SSE5  ,71,           ,71,           ,           ,           ,           ,           ,-1
ssp_comle_pd                  ,compd     ,SSE5  ,26.8,           ,2,           ,           ,           ,           ,           ,-1
ssp_comle_ps                  ,comps     ,SSE5  ,28.8,           ,2,           ,           ,           ,           ,           ,-1
ssp_comle_sd                  ,comsd     ,SSE5  ,28,           ,2,           ,           ,           ,           ,           ,-1
ssp_comle_ss                  ,comss     ,SSE5  ,11.1,           ,2,           ,           ,           ,           ,           ,-1
ssp_comlt_epi16               ,pcomw     ,SSE5  ,47,           ,4,           ,           ,           ,           ,           ,-1
ssp_comlt_epi32               ,pcomd     ,SSE5  ,34,           ,4,           ,           ,           ,           ,           ,-1
ssp_comlt_epi64               ,pcomq     ,SSE5  ,36,           ,36,           ,           ,           ,           ,           ,-1
ssp_comlt_epi8                ,pcomb     ,SSE5  ,59,           ,4,           ,           ,           ,           ,           ,-1
ssp_comlt_epu16               ,pcomuw    ,SSE5  ,44,           ,9,           ,           ,           ,           ,           ,-1
ssp_comlt_epu32               ,pcomud    ,SSE5  ,32.8,           ,9,           ,           ,           ,           ,           ,-1
ssp_comlt_epu64               ,pcomuq    ,SSE5  ,35,           ,35,           ,           ,           ,           ,           ,-1
ssp_comlt_epu8                ,pcomub    ,SSE5  ,66,           ,66,           ,           ,           ,           ,           ,-1
ssp_comlt_pd                  ,compd     ,SSE5  ,27.4,           ,2,           ,           ,           ,           ,           ,-1
ssp_comlt_ps                  ,comps     ,SSE5  ,24.4,           ,2,           ,           ,           ,           ,           ,-1
ssp_comlt_sd                  ,comsd     ,SSE5  ,27,           ,2,           ,           ,           ,           ,           ,-1
ssp_comlt_ss                  ,comss     ,SSE5  ,10.6,           ,2,           ,           ,           ,           ,           ,-1
ssp_comneq_epi16              ,pcomw     ,SSE5  ,47,           ,4,           ,           ,           ,           ,           ,-1
ssp_comneq_epi32              ,pcomd     ,SSE5  ,33.9,           ,4,           ,           ,           ,           ,           ,-1
ssp_comneq_epi64              ,pcomq     ,SSE5  ,26.2,           ,12,           ,           ,           ,           ,           ,-1
ssp_comneq_epi8               ,pcomb     ,SSE5  ,59,           ,4,           ,           ,           ,           ,           ,-1
ssp_comneq_epu16              ,pcomuw    ,SSE5  ,47,           ,4,           ,           ,           ,           ,           ,-1
ssp_comneq_epu32              ,pcomud    ,SSE5  ,33.9,           ,4,           ,           ,           ,           ,           ,-1
ssp_comneq_epu64              ,pcomuq    ,SSE5  ,26.2,           ,12,           ,           ,           ,           ,           ,-1
ssp_comneq_epu8               ,pcomub    ,SSE5  ,59,           ,4,           ,           ,           ,           ,           ,-1
ssp_comneq_pd                 ,compd     ,SSE5  ,27.4,           ,2,           ,           ,           ,           ,           ,-1
ssp_comneq_ps                 ,comps     ,SSE5  ,21.3,           ,2,           ,           ,           ,           ,           ,-1
ssp_comneq_sd                 ,comsd     ,SSE5  ,25.6,           ,2,           ,           ,           ,           ,           ,-1
ssp_comneq_ss                 ,comss     ,SSE5  ,9,           ,2,           ,           ,           ,           ,           ,-1
ssp_comnge_pd                 ,compd     ,SSE5  ,27.6,           ,4,           ,           ,           ,           ,           ,-1
ssp_comnge_ps                 ,comps     ,SSE5  ,24,           ,4,           ,           ,           ,           ,           ,-1
ssp_comnge_sd                 ,comsd     ,SSE5  ,28.4,           ,11.3,           ,           ,           ,           ,           ,-1
ssp_comnge_ss                 ,comss     ,SSE5  ,11.1,           ,18.2,           ,           ,           ,           ,           ,-1
ssp_comngt_pd                 ,compd     ,SSE5  ,26.9,           ,4,           ,           ,           ,           ,           ,-1
ssp_comngt_ps                 ,comps     ,SSE5  ,24.9,           ,4,           ,           ,           ,           ,           ,-1
ssp_comngt_sd                 ,comsd     ,SSE5  ,28,           ,11.3,           ,           ,           ,           ,           ,-1
ssp_comngt_ss                 ,comss     ,SSE5  ,11.1,           ,18.2,           ,           ,           ,           ,           ,-1
ssp_comnle_pd                 ,compd     ,SSE5  ,26.8,           ,2,           ,           ,           ,           ,           ,-1
ssp_comnle_ps                 ,comps     ,SSE5  ,24.8,           ,2,           ,           ,           ,           ,           ,-1
ssp_comnle_sd                 ,comsd     ,SSE5  ,28,           ,2,           ,           ,           ,           ,           ,-1
ssp_comnle_ss                 ,comss     ,SSE5  ,11.1,           ,2,           ,           ,           ,           ,           ,-1
ssp_comnlt_pd                 ,compd     ,SSE5  ,26.8,           ,2,           ,           ,           ,           ,           ,-1
ssp_comnlt_ps                 ,comps     ,SSE5  ,24,           ,2,           ,           ,           ,           ,           ,-1
ssp_comnlt_sd                 ,comsd     ,SSE5  ,28,           ,2,           ,           ,           ,           ,           ,-1
ssp_comnlt_ss                 ,comss     ,SSE5  ,11.1,           ,2,           ,           ,           ,           ,           ,-1
ssp_comoneq_pd                ,compd     ,SSE5  ,32,           ,9,           ,           ,           ,           ,           ,-1
ssp_comoneq_ps                ,comps     ,SSE5  ,54.5,           ,9,           ,           ,           ,           ,           ,-1
ssp_comoneq_sd                ,comsd     ,SSE5  ,28.9,           ,11,           ,           ,           ,           ,           ,-1
